Initializing simulation at 2019-06-23 22:26:50.537811
m.e. ibpijda finished at 07:58:49
m.e. auctjir started at 07:59:09
m.e. ognowwoz started at 07:59:38
m.e. ejcrur started at 07:59:54
m.e. ojfanni started at 08:00:08
m.e. agcowktu started at 08:00:10
m.e. aniajcr finished at 08:00:43
m.e. ajtreo started at 08:00:53
m.e. atfrim started at 08:01:14
m.e. adkavy finished at 08:01:14
m.e. abdremlu started at 08:01:24
m.e. oafhynu finished at 08:01:26
m.e. ellimtbu started at 08:01:36
m.e. agivle started at 08:02:20
m.e. acitva finished at 08:02:20
m.e. ejkipub finished at 08:02:21
m.e. etnads started at 08:02:23
m.e. uchjafy started at 08:02:25
m.e. afmorc started at 08:02:33
m.e. evdyffu finished at 08:02:36
m.e. ioivkn started at 08:02:48
m.e. ootyecls started at 08:03:07
m.e. opgovebo started at 08:03:20
m.e. idsmuk finished at 08:03:21
m.e. ilkble finished at 08:03:50
m.e. enjubpl finished at 08:04:53
m.e. eolgug started at 08:05:31
m.e. abjoolaw finished at 08:05:36
m.e. efonve finished at 08:05:42
m.e. ubjajo finished at 08:05:44
m.e. ailbcuv finished at 08:05:49
m.e. ugifmav started at 08:06:04
m.e. ivkockim started at 08:06:17
m.e. ushfeoj started at 08:06:43
m.e. eitpem started at 08:06:48
m.e. egteir started at 08:06:49
m.e. enkkand started at 08:06:57
m.e. iafstnue started at 08:07:14
m.e. iovhar finished at 08:07:17
m.e. occeyd finished at 08:08:11
m.e. irjfen started at 08:08:12
m.e. ashgati started at 08:08:19
m.e. oggluv finished at 08:08:31
m.e. ecgojtyt started at 08:08:35
m.e. ecgojtyt started at 08:08:35
m.e. icagpony finished at 08:09:00
m.e. ilcoby started at 08:09:18
m.e. oshyon finished at 08:09:24
m.e. anidgib started at 08:09:31
m.e. edglevi started at 08:10:26
m.e. ajsnedsi finished at 08:10:36
m.e. ijhipvo started at 08:10:37
m.e. ijthind started at 08:10:39
m.e. exskafvo started at 08:10:48
m.e. opjermp finished at 08:10:50
m.e. odoywug started at 08:10:57
m.e. eghanwib finished at 08:11:08
m.e. effneomi started at 08:11:14
m.e. odocjeca finished at 08:11:15
m.e. oljnek started at 08:11:52
m.e. acpegho started at 08:11:54
m.e. omdrid started at 08:12:19
m.e. okblahed started at 08:12:48
m.e. eavcaifo started at 08:12:50
m.e. ainplin started at 08:13:00
m.e. ebdafya finished at 08:13:07
m.e. abtyff started at 08:13:37
m.e. odscixam entering in mz 65317133.0 at time 08:14:31
m.e. ukgoaf finished at 08:14:34
m.e. inlica started at 08:14:41
m.e. odscixam exited from mz 65317133.0 at time 08:15:08
m.e. odscixam finished at 08:15:08
m.e. evtitdea finished at 08:15:41
m.e. eoydba started at 08:15:53
m.e. ojfieza started at 08:15:59
m.e. aivtytan finished at 08:16:26
m.e. oygmebra started at 08:16:37
m.e. udtiogi started at 08:16:41
m.e. eufdod finished at 08:17:13
m.e. ogphagpi started at 08:17:17
m.e. afmorc finished at 08:17:38
m.e. ioivkn finished at 08:17:41
m.e. afsfat finished at 08:17:42
m.e. idsmuk started at 08:18:04
m.e. ejcrur finished at 08:18:08
m.e. edrafs finished at 08:18:11
m.e. abdremlu finished at 08:18:17
m.e. ansyut started at 08:18:30
m.e. ellimtbu finished at 08:18:35
m.e. orrrar finished at 08:18:41
m.e. ojfanni finished at 08:19:03
m.e. ebcicy started at 08:19:16
m.e. akgicjud started at 08:19:17
m.e. ijhipvo finished at 08:19:18
m.e. owgves started at 08:19:21
m.e. agivle finished at 08:19:27
m.e. auctjir finished at 08:19:51
m.e. usbekhia started at 08:19:57
m.e. ootyecls finished at 08:19:59
m.e. ucovlato started at 08:20:24
m.e. atfrim finished at 08:20:25
m.e. agcowktu finished at 08:20:31
m.e. ejtobu started at 08:20:54
m.e. opgovebo finished at 08:20:59
m.e. aquawaw started at 08:21:01
m.e. epabcadu started at 08:21:02
m.e. ognowwoz finished at 08:21:23
m.e. ioajdig started at 08:21:31
m.e. eolgug finished at 08:21:54
m.e. avglybic started at 08:21:57
m.e. ilkble started at 08:22:09
m.e. agdrea started at 08:22:12
m.e. adnerst started at 08:22:15
m.e. ushfeoj finished at 08:22:20
m.e. ivkockim finished at 08:22:22
m.e. okavkau started at 08:22:24
m.e. ajthof started at 08:22:47
m.e. ochtin started at 08:22:56
m.e. etnads finished at 08:23:19
m.e. eolgug started at 08:24:03
m.e. owgves finished at 08:24:03
m.e. edeejdru started at 08:24:20
m.e. ajtreo finished at 08:24:24
m.e. ugifmav finished at 08:24:25
m.e. egteir finished at 08:24:27
m.e. ashgati finished at 08:24:32
m.e. ecgojtyt finished at 08:24:57
m.e. ecgojtyt finished at 08:24:57
m.e. eshroa started at 08:24:59
m.e. ugdifbl started at 08:25:47
m.e. eitpem finished at 08:25:53
m.e. aniajcr started at 08:26:15
m.e. exskafvo finished at 08:26:17
m.e. agsuec started at 08:26:31
m.e. evjoko started at 08:27:12
m.e. omdrid finished at 08:27:17
m.e. ijtowhur started at 08:27:19
m.e. eggfrij started at 08:27:45
m.e. ubjajo started at 08:27:56
m.e. uchjafy finished at 08:27:59
m.e. ayquexar started at 08:28:00
m.e. irjfen finished at 08:28:00
m.e. anidgib finished at 08:28:09
m.e. efspheco started at 08:28:12
m.e. oirzgont started at 08:28:25
m.e. ilcoby finished at 08:28:53
m.e. odoywug finished at 08:29:04
m.e. ijthind finished at 08:29:08
m.e. acpegho finished at 08:29:12
m.e. amciuca started at 08:29:13
m.e. edglevi finished at 08:29:19
m.e. egreosko started at 08:29:21
m.e. itacfl started at 08:29:38
m.e. oljnek finished at 08:30:12
m.e. acitva started at 08:30:29
m.e. enkkand finished at 08:31:04
m.e. oafhynu started at 08:31:07
m.e. ibwicim started at 08:31:16
m.e. eavcaifo finished at 08:31:25
m.e. oapwycti started at 08:31:43
m.e. iovlito started at 08:32:07
m.e. ainplin finished at 08:32:31
m.e. oxdoghic started at 08:32:37
m.e. eshroa entering in mz 65317145.0 at time 08:32:40
m.e. eshroa exited from mz 65317145.0 at time 08:32:46
m.e. effneomi finished at 08:32:58
m.e. aimidd started at 08:33:22
m.e. okblahed finished at 08:33:24
m.e. ijhipvo started at 08:33:25
m.e. ojwyky started at 08:33:32
m.e. ejtobu finished at 08:33:50
m.e. ewufri started at 08:33:51
m.e. eoydba finished at 08:33:51
m.e. udtiogi finished at 08:33:54
m.e. akgicjud finished at 08:34:20
m.e. abtyff finished at 08:34:21
m.e. ogjoch started at 08:34:26
m.e. idsmuk finished at 08:34:33
m.e. ibflsruc started at 08:34:42
m.e. ansyut finished at 08:35:06
m.e. ojfieza finished at 08:35:09
m.e. inlica finished at 08:35:15
m.e. ogphagpi finished at 08:35:39
m.e. inhiala started at 08:35:45
m.e. ascley started at 08:35:58
m.e. ecgojtyt started at 08:36:06
m.e. ecgojtyt started at 08:36:06
m.e. ucovlato finished at 08:36:44
m.e. ebcicy finished at 08:36:46
m.e. aquawaw finished at 08:37:10
m.e. usbekhia finished at 08:37:29
m.e. avglybic finished at 08:37:37
m.e. udwadla started at 08:37:48
m.e. ecdiwovu started at 08:38:05
m.e. ecdiwovu started at 08:38:05
m.e. ekenucki started at 08:38:28
m.e. itbadpi started at 08:38:39
m.e. ofikco started at 08:38:44
m.e. abniar started at 08:38:57
m.e. ojvighta started at 08:39:24
m.e. akvutvo started at 08:40:36
m.e. ioajdig entering in mz 65317133.0 at time 08:40:38
m.e. ochtin finished at 08:40:42
m.e. udguic started at 08:40:51
m.e. ioajdig exited from mz 65317133.0 at time 08:41:02
m.e. ioajdig finished at 08:41:06
m.e. iafstnue finished at 08:41:08
m.e. okavkau finished at 08:41:10
m.e. usbekhia started at 08:41:33
m.e. edeejdru finished at 08:41:55
m.e. eolgug finished at 08:42:41
m.e. agdrea finished at 08:43:04
m.e. ayquexar finished at 08:43:04
m.e. evjoko finished at 08:43:35
m.e. epemvagu started at 08:43:41
m.e. ajthof finished at 08:44:08
m.e. adnerst finished at 08:44:08
m.e. efspheco finished at 08:44:21
m.e. ijtowhur finished at 08:44:21
m.e. ilkble finished at 08:44:28
m.e. oivnabyo started at 08:44:30
m.e. ailbcuv started at 08:44:30
m.e. ecfesy started at 08:44:31
m.e. ecfesy started at 08:44:31
m.e. ojwyky finished at 08:44:38
m.e. indtwrat started at 08:44:49
m.e. aniajcr finished at 08:44:49
m.e. ubjajo finished at 08:45:09
m.e. ugdifbl finished at 08:45:42
m.e. amciuca finished at 08:46:04
m.e. oirzgont finished at 08:46:50
m.e. ecdiwovu finished at 08:47:01
m.e. ecdiwovu finished at 08:47:01
m.e. acitva finished at 08:47:34
m.e. ebenfrag started at 08:47:40
m.e. ebenfrag started at 08:47:40
m.e. ijprukfr started at 08:47:51
m.e. oafhynu finished at 08:48:08
m.e. iphespha started at 08:48:16
m.e. agsuec finished at 08:48:25
m.e. eggfrij finished at 08:48:25
m.e. ellimtbu started at 08:48:54
m.e. itacfl finished at 08:48:58
m.e. ioangio started at 08:49:04
m.e. iovlito finished at 08:49:11
m.e. iackaw started at 08:49:16
m.e. abjoolaw started at 08:49:17
m.e. ibwicim finished at 08:49:26
m.e. oxdoghic finished at 08:49:32
m.e. aimidd finished at 08:49:52
m.e. ubzachy started at 08:50:24
m.e. epabcadu finished at 08:50:40
m.e. ickviya started at 08:50:48
m.e. egreosko finished at 08:51:26
m.e. ijhipvo finished at 08:51:30
m.e. oiphye started at 08:51:36
m.e. ibflsruc finished at 08:51:43
m.e. ecgojtyt finished at 08:52:33
m.e. ecgojtyt finished at 08:52:33
m.e. ogjoch finished at 08:52:40
m.e. oapwycti finished at 08:53:54
m.e. itbadpi finished at 08:54:40
m.e. oygmebra finished at 08:54:45
m.e. akvutvo finished at 08:55:08
m.e. ishvirv started at 08:55:12
m.e. ascley finished at 08:55:19
m.e. abniar finished at 08:55:24
m.e. aquawaw started at 08:55:42
m.e. akyeerbi started at 08:55:46
m.e. aydwaho started at 08:55:47
m.e. inhiala finished at 08:55:47
m.e. ojvighta finished at 08:55:59
m.e. agvexpia started at 08:56:30
m.e. ofikco finished at 08:56:42
m.e. eemafbij started at 08:57:04
m.e. eybyay started at 08:57:04
m.e. udwadla finished at 08:58:09
m.e. itquirla started at 08:58:10
m.e. usbekhia finished at 08:58:11
m.e. udguic finished at 08:58:34
m.e. uvreoipy started at 08:58:42
m.e. ejtobu started at 08:59:27
m.e. acpegho started at 08:59:31
m.e. odocjeca started at 09:00:15
m.e. amciuca started at 09:00:20
m.e. epemvagu finished at 09:00:33
m.e. aimidd started at 09:00:50
m.e. ononma started at 09:00:53
m.e. uchjafy started at 09:00:55
m.e. edjiye started at 09:01:14
m.e. icagpony started at 09:01:15
m.e. ailbcuv finished at 09:01:39
m.e. oivnabyo finished at 09:02:01
m.e. occeyd started at 09:02:40
m.e. efspheco started at 09:03:10
m.e. oahudflo started at 09:03:25
m.e. obacvau started at 09:03:32
m.e. ebenfrag finished at 09:04:19
m.e. ebenfrag finished at 09:04:19
m.e. ewufri finished at 09:04:24
m.e. ioangio finished at 09:04:39
m.e. aivtytan started at 09:05:02
m.e. iphespha finished at 09:05:05
m.e. awnbeb started at 09:05:15
m.e. ukgoaf started at 09:05:30
m.e. ijprukfr finished at 09:05:37
m.e. ecfesy finished at 09:06:12
m.e. ecfesy finished at 09:06:12
m.e. enidmopt started at 09:06:25
m.e. ivheoo started at 09:06:46
m.e. ickviya finished at 09:07:10
m.e. ellimtbu finished at 09:07:37
m.e. ootyecls started at 09:07:48
m.e. oiphye finished at 09:08:27
m.e. ubzachy finished at 09:08:39
m.e. indtwrat finished at 09:08:51
m.e. ishvirv finished at 09:08:55
m.e. iackaw finished at 09:09:36
m.e. abjoolaw finished at 09:09:37
m.e. edodblea started at 09:10:04
m.e. erjboyni started at 09:10:40
m.e. opjermp started at 09:11:18
m.e. ogjoch started at 09:12:17
m.e. itquirla finished at 09:12:17
m.e. agvexpia finished at 09:12:18
m.e. ioivkn started at 09:12:42
m.e. epabcadu started at 09:12:51
m.e. afsfat started at 09:13:11
m.e. ochtin started at 09:13:14
m.e. akyeerbi finished at 09:13:45
m.e. izowcu started at 09:14:00
m.e. amciuca finished at 09:14:07
m.e. eemafbij finished at 09:14:28
m.e. anucks started at 09:14:35
m.e. aydwaho finished at 09:14:52
m.e. uvreoipy finished at 09:15:05
m.e. inquay started at 09:15:25
m.e. abdremlu started at 09:15:31
m.e. aquawaw finished at 09:15:32
m.e. idbaybim started at 09:15:34
m.e. odocjeca finished at 09:15:36
m.e. omcuky started at 09:15:49
m.e. ishvirv started at 09:15:53
m.e. eshroa finished at 09:16:04
m.e. agcowktu started at 09:16:36
m.e. ogjoch entering in mz 65317133.0 at time 09:16:37
m.e. ugifmav started at 09:16:47
m.e. omdrid started at 09:16:51
m.e. ogjoch exited from mz 65317133.0 at time 09:17:02
m.e. ojroigna started at 09:17:04
m.e. inhiala started at 09:17:12
m.e. ejtobu finished at 09:17:14
m.e. ibwicim started at 09:17:33
m.e. aimidd finished at 09:18:04
m.e. obsimjio started at 09:18:08
m.e. occeyd finished at 09:18:08
m.e. uchjafy finished at 09:18:20
m.e. icagpony finished at 09:18:29
m.e. obacvau finished at 09:19:09
m.e. ekenucki finished at 09:19:15
m.e. ocwyit started at 09:19:40
m.e. ugatna started at 09:19:52
m.e. itcemra started at 09:20:03
m.e. enidmopt finished at 09:20:08
m.e. eybyay finished at 09:20:18
m.e. efspheco finished at 09:20:19
m.e. ifragcic started at 09:20:23
m.e. atfrim started at 09:20:28
m.e. ashgati started at 09:20:39
m.e. ononma finished at 09:20:43
m.e. acpegho finished at 09:20:54
m.e. aivtytan finished at 09:21:00
m.e. iahorou started at 09:21:13
m.e. oahudflo finished at 09:21:39
m.e. inghoth started at 09:21:42
m.e. ubjajo started at 09:21:58
m.e. akvutvo started at 09:22:04
m.e. ecdiwovu started at 09:22:36
m.e. ecdiwovu started at 09:22:36
m.e. agivle started at 09:22:53
m.e. edjiye finished at 09:23:12
m.e. ukgoaf finished at 09:23:25
m.e. anidgib started at 09:23:26
m.e. idvowwed started at 09:23:57
m.e. ikdagcy started at 09:24:26
m.e. ootyecls finished at 09:24:36
m.e. efonve started at 09:25:34
m.e. oktulsy started at 09:26:07
m.e. ivheoo finished at 09:26:10
m.e. ubzachy started at 09:26:18
m.e. opjermp finished at 09:26:27
m.e. oiphye started at 09:26:48
m.e. aslagni started at 09:26:49
m.e. erjboyni finished at 09:27:07
m.e. ogphagpi started at 09:27:30
m.e. ainplin started at 09:27:37
m.e. udtiogi started at 09:28:12
m.e. eavcaifo started at 09:28:24
m.e. uvigcho started at 09:28:29
m.e. ansyut started at 09:28:36
m.e. ayquexar started at 09:29:14
m.e. agdrea started at 09:29:21
m.e. ioivkn finished at 09:29:57
m.e. etalrab started at 09:29:58
m.e. ichankru started at 09:30:18
m.e. edodblea finished at 09:30:28
m.e. ithpett started at 09:30:41
m.e. ochtin finished at 09:31:25
m.e. oirzgont started at 09:31:44
m.e. ibflsruc started at 09:31:52
m.e. awnbeb finished at 09:32:43
m.e. izowcu finished at 09:33:19
m.e. adnerst started at 09:33:32
m.e. ishvirv finished at 09:33:36
m.e. ugatna finished at 09:33:52
m.e. idbaybim finished at 09:33:52
m.e. ashgati finished at 09:33:53
m.e. inhiala finished at 09:33:55
m.e. ejtobu started at 09:34:05
m.e. effneomi started at 09:34:09
m.e. ovnacgad started at 09:34:27
m.e. iahorou finished at 09:34:30
m.e. anucks finished at 09:34:50
m.e. onwohyss started at 09:34:52
m.e. avglybic started at 09:35:38
m.e. aniajcr started at 09:35:43
m.e. afsfat finished at 09:35:58
m.e. ojroigna finished at 09:36:33
m.e. ecdiwovu finished at 09:36:36
m.e. ecdiwovu finished at 09:36:36
m.e. itcemra finished at 09:36:36
m.e. abdremlu finished at 09:37:04
m.e. ejtobu entering in mz 65317133.0 at time 09:37:08
m.e. ogurjupo started at 09:37:14
m.e. ugifmav finished at 09:37:16
m.e. ecfesy started at 09:37:20
m.e. ecfesy started at 09:37:20
m.e. andyol started at 09:37:25
m.e. atfrim finished at 09:37:25
m.e. inquay finished at 09:37:25
m.e. omcuky finished at 09:37:26
m.e. ejtobu exited from mz 65317133.0 at time 09:37:34
m.e. eagbaci started at 09:37:35
m.e. omdrid finished at 09:37:36
m.e. inghoth finished at 09:37:53
m.e. odklobci started at 09:38:01
m.e. ibwicim finished at 09:38:11
m.e. eokracy started at 09:38:40
m.e. akvutvo finished at 09:39:13
m.e. ackgrica started at 09:39:17
m.e. ainplin finished at 09:39:27
m.e. agivle finished at 09:39:30
m.e. ifragcic finished at 09:39:45
m.e. ellimtbu started at 09:40:04
m.e. asigno started at 09:40:16
m.e. idvowwed finished at 09:40:32
m.e. ogjoch finished at 09:40:44
m.e. ansyut finished at 09:40:46
m.e. ednillo started at 09:40:48
m.e. eersdo started at 09:41:00
m.e. ubjajo finished at 09:41:37
m.e. ubzachy finished at 09:42:07
m.e. obsimjio finished at 09:42:31
m.e. uvburki started at 09:42:39
m.e. epabcadu finished at 09:43:12
m.e. inhiala started at 09:43:19
m.e. udtiogi finished at 09:43:20
m.e. ocwyit finished at 09:43:22
m.e. oktulsy finished at 09:43:35
m.e. ogphagpi finished at 09:43:41
m.e. anidgib finished at 09:43:44
m.e. aslagni finished at 09:43:56
m.e. ijprukfr started at 09:44:05
m.e. evdyffu started at 09:44:27
m.e. efonve finished at 09:44:49
m.e. oiphye finished at 09:45:32
m.e. agivle started at 09:45:39
m.e. eavcaifo finished at 09:45:46
m.e. egteir started at 09:46:20
m.e. easnsvu started at 09:46:45
m.e. etalrab finished at 09:46:57
m.e. ayquexar finished at 09:47:05
m.e. ichankru finished at 09:47:10
m.e. aimidd started at 09:47:22
m.e. ikdagcy finished at 09:47:32
m.e. ithpett finished at 09:47:39
m.e. amciuca started at 09:48:07
m.e. oshyon started at 09:48:34
m.e. aniajcr finished at 09:49:08
m.e. edeejdru started at 09:49:48
m.e. agdrea finished at 09:50:20
m.e. iblool started at 09:50:25
m.e. oirzgont finished at 09:50:33
m.e. ocshitcl started at 09:50:40
m.e. ovnacgad finished at 09:51:00
m.e. equioc started at 09:51:30
m.e. uvigcho finished at 09:51:47
m.e. ancyclsu started at 09:52:07
m.e. utwoab started at 09:52:22
m.e. egreosko started at 09:52:45
m.e. onwohyss finished at 09:52:53
m.e. ibflsruc finished at 09:53:11
m.e. agcowktu finished at 09:53:12
m.e. odklobci finished at 09:53:51
m.e. ecfesy finished at 09:54:09
m.e. ecfesy finished at 09:54:09
m.e. adkavy started at 09:54:14
m.e. andyol finished at 09:54:20
m.e. agvexpia started at 09:54:22
m.e. ogurjupo finished at 09:54:24
m.e. adnerst finished at 09:54:27
m.e. avglybic finished at 09:54:56
m.e. ootyecls started at 09:55:15
m.e. ellimtbu finished at 09:55:20
m.e. eagbaci finished at 09:55:22
m.e. iphespha started at 09:56:12
m.e. ednillo finished at 09:56:28
m.e. effneomi finished at 09:56:33
m.e. acpegho started at 09:56:45
m.e. eokracy finished at 09:56:54
m.e. ononma started at 09:57:16
m.e. ayshowg started at 09:57:20
m.e. utkibedy started at 09:57:24
m.e. ekenucki started at 09:57:38
m.e. efspheco started at 09:57:38
m.e. eybyay started at 09:57:38
m.e. ejtobu finished at 09:58:16
m.e. eersdo finished at 09:59:16
m.e. asigno finished at 09:59:21
m.e. udwadla started at 09:59:30
m.e. uvburki finished at 10:00:01
m.e. ugatna started at 10:00:51
m.e. ijprukfr finished at 10:00:51
m.e. ucvepnuv started at 10:01:26
m.e. agivle finished at 10:01:52
m.e. inhiala finished at 10:02:07
m.e. egteir finished at 10:02:22
m.e. aimidd finished at 10:02:28
m.e. amciuca finished at 10:02:37
m.e. oshyon finished at 10:02:44
m.e. ocshitcl finished at 10:02:56
m.e. inquay started at 10:03:12
m.e. ubjajo started at 10:03:28
m.e. ishvirv started at 10:03:36
m.e. imneesu started at 10:03:40
m.e. eshroa started at 10:03:51
m.e. ogshtcew started at 10:04:12
m.e. ujkiwe started at 10:04:33
m.e. easnsvu finished at 10:04:59
m.e. idbaybim started at 10:05:04
m.e. oafhynu started at 10:05:13
m.e. obceoo started at 10:05:47
m.e. esnddceb started at 10:06:02
m.e. acpegho finished at 10:06:28
m.e. uvigcho started at 10:06:32
m.e. ubzachy started at 10:07:00
m.e. ocjeng started at 10:07:17
m.e. utjanre started at 10:07:39
m.e. oydtesa started at 10:08:15
m.e. oiphye started at 10:08:15
m.e. ivheoo started at 10:08:46
m.e. utwoab finished at 10:09:16
m.e. ayquexar started at 10:09:20
m.e. ajthof started at 10:09:30
m.e. iblool finished at 10:09:39
m.e. ictlypt started at 10:09:43
m.e. edeejdru finished at 10:09:49
m.e. adkavy finished at 10:09:50
m.e. ancyclsu finished at 10:10:28
m.e. enidmopt started at 10:10:29
m.e. unquekov started at 10:10:43
m.e. agvexpia finished at 10:10:54
m.e. egreosko finished at 10:11:02
m.e. abdremlu started at 10:11:54
m.e. equioc finished at 10:11:57
m.e. ecgojtyt started at 10:12:54
m.e. ecgojtyt started at 10:12:54
m.e. ootyecls finished at 10:12:59
m.e. idodly started at 10:13:16
m.e. ekenucki finished at 10:13:20
m.e. eagbaci started at 10:13:26
m.e. iphespha finished at 10:13:53
m.e. efonve started at 10:13:55
m.e. eokracy started at 10:14:01
m.e. ujkiwe finished at 10:14:01
m.e. occeyd started at 10:14:27
m.e. eybyay finished at 10:14:56
m.e. utkibedy finished at 10:15:15
m.e. eosluip started at 10:15:20
m.e. ononma finished at 10:15:40
m.e. okquakar started at 10:15:48
m.e. ayshowg finished at 10:15:51
m.e. ishvirv finished at 10:16:51
m.e. ucvepnuv finished at 10:16:57
m.e. ovnacgad started at 10:17:01
m.e. agvexpia started at 10:17:07
m.e. ugatna finished at 10:17:44
m.e. evdyffu finished at 10:18:37
m.e. udwadla finished at 10:18:49
m.e. ibflsruc started at 10:19:03
m.e. ocwyit started at 10:19:18
m.e. ogshtcew finished at 10:19:22
m.e. efspheco finished at 10:19:26
m.e. imneesu finished at 10:19:30
m.e. andyol started at 10:19:34
m.e. ubzachy finished at 10:20:13
m.e. ackgrica finished at 10:20:26
m.e. ubjajo finished at 10:20:30
m.e. idbaybim finished at 10:20:46
m.e. obceoo finished at 10:20:57
m.e. askmecle started at 10:21:09
m.e. ayquexar finished at 10:22:02
m.e. ogurjupo started at 10:22:11
m.e. inquay finished at 10:22:18
m.e. esnddceb finished at 10:23:34
m.e. utjanre finished at 10:23:49
m.e. aimidd started at 10:24:04
m.e. ocjeng finished at 10:24:04
m.e. oafhynu finished at 10:24:28
m.e. uvigcho finished at 10:24:38
m.e. oiphye finished at 10:25:05
m.e. orkbats started at 10:25:21
m.e. ictlypt finished at 10:25:35
m.e. otvasdar started at 10:25:58
m.e. enidmopt finished at 10:26:32
m.e. ivheoo finished at 10:26:43
m.e. adpaifo started at 10:27:08
m.e. ancyclsu started at 10:27:35
m.e. abdremlu finished at 10:27:39
m.e. agivle started at 10:27:49
m.e. oydtesa finished at 10:28:22
m.e. ajthof finished at 10:29:04
m.e. aydwaho started at 10:29:51
m.e. askmecle finished at 10:29:54
m.e. idodly finished at 10:30:25
m.e. eokracy finished at 10:30:58
m.e. unquekov finished at 10:31:50
m.e. efonve entering in mz 65317133.0 at time 10:32:20
m.e. efonve exited from mz 65317133.0 at time 10:32:44
m.e. occeyd entering in mz 65317133.0 at time 10:32:49
m.e. eosluip finished at 10:33:05
m.e. occeyd exited from mz 65317133.0 at time 10:33:13
m.e. okquakar finished at 10:33:16
m.e. ecgojtyt finished at 10:33:16
m.e. ecgojtyt finished at 10:33:16
m.e. ofjeequo started at 10:33:38
m.e. occeyd finished at 10:33:58
m.e. agvexpia finished at 10:34:04
m.e. efonve entering in mz 65317133.0 at time 10:34:10
m.e. ovnacgad finished at 10:34:10
m.e. efonve exited from mz 65317133.0 at time 10:34:36
m.e. ejnoax started at 10:35:30
m.e. eshroa finished at 10:35:44
m.e. odscixam started at 10:35:57
m.e. andyol finished at 10:36:31
m.e. efonve finished at 10:36:36
m.e. ubjaju started at 10:37:21
m.e. agivle finished at 10:37:32
m.e. ibflsruc finished at 10:37:36
m.e. eagbaci finished at 10:37:50
m.e. egreosko started at 10:37:58
m.e. utlurva started at 10:39:35
m.e. evbacclu started at 10:39:40
m.e. ithpett started at 10:39:50
m.e. uvburki started at 10:40:04
m.e. ayshowg started at 10:40:17
m.e. atfrim started at 10:40:19
m.e. oirzgont started at 10:40:31
m.e. egwicjuv started at 10:40:48
m.e. aimidd finished at 10:41:22
m.e. ogurjupo finished at 10:42:44
m.e. onwohyss started at 10:43:01
m.e. orkbats finished at 10:43:18
m.e. oshyon started at 10:43:40
m.e. occeyd started at 10:43:50
m.e. adpaifo finished at 10:43:54
m.e. inghoth started at 10:44:34
m.e. idbaybim started at 10:44:49
m.e. occeyd entering in mz 65317133.0 at time 10:45:01
m.e. iapberci started at 10:45:06
m.e. occeyd exited from mz 65317133.0 at time 10:45:28
m.e. aquawaw started at 10:45:29
m.e. otvasdar finished at 10:46:01
m.e. ovnacgad started at 10:46:12
m.e. odklobci started at 10:47:03
m.e. aydwaho finished at 10:47:30
m.e. awnbeb started at 10:48:12
m.e. eagbaci started at 10:48:31
m.e. ejnoax finished at 10:48:59
m.e. edeejdru started at 10:49:23
m.e. ogijtri started at 10:49:37
m.e. epabcadu started at 10:49:45
m.e. ocwyit finished at 10:49:54
m.e. egreosko finished at 10:50:36
